Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,17,1,0,43,43
1,15,4,44,50,6
1,17,1,51,383,332
1,20,4,384,395,11
1,27,1,396,398,2
1,2,0,399,1071,672
1,14,4,1072,1088,16
1,12,2,1089,1138,49
1,10,3,1139,1141,2
1,22,2,1142,1260,118
1,17,1,1261,1292,31
1,15,4,1293,1295,2
1,8,3,1296,1326,30
1,17,1,1327,1396,69
1,21,4,1397,1400,3
1,12,2,1401,1439,38
2,2,0,0,1439,1439
3,10,3,0,1,1
3,17,1,2,89,87
3,21,4,90,111,21
3,11,1,112,535,423
3,20,4,536,567,31
3,3,3,568,575,7
3,21,4,576,584,8
3,2,0,585,1288,703
3,15,4,1289,1294,5
3,22,2,1295,1296,1
3,17,1,1297,1362,65
3,22,2,1363,1439,76
4,17,1,0,5,5
4,21,4,6,8,2
4,11,1,9,434,425
4,1,0,435,437,2
4,11,1,438,462,24
4,15,4,463,507,44
4,3,3,508,514,6
4,21,4,515,518,3
4,27,1,519,533,14
4,2,0,534,1026,492
4,25,2,1027,1042,15
4,15,4,1043,1068,25
4,27,1,1069,1079,10
4,2,0,1080,1439,359
5,2,0,0,556,556
5,25,2,557,567,10
5,27,1,568,569,1
5,3,3,570,594,24
5,21,4,595,611,16
5,22,2,612,629,17
5,2,0,630,1229,599
5,27,1,1230,1231,1
5,12,2,1232,1247,15
5,15,4,1248,1250,2
5,12,2,1251,1297,46
5,17,1,1298,1328,30
5,1,0,1329,1332,3
5,17,1,1333,1338,5
5,13,2,1339,1434,95
5,21,4,1435,1439,4
6,12,2,0,5,5
6,1,0,6,8,2
6,12,2,9,33,24
6,15,4,34,37,3
6,18,2,38,53,15
6,27,1,54,64,10
6,2,0,65,120,55
6,27,1,121,546,425
6,21,4,547,559,12
6,27,1,560,564,4
6,15,4,565,584,19
6,2,0,585,1050,465
6,27,1,1051,1054,3
6,25,2,1055,1149,94
6,16,1,1150,1216,66
6,7,3,1217,1292,75
6,12,2,1293,1371,78
6,10,3,1372,1376,4
6,12,2,1377,1418,41
6,17,1,1419,1426,7
6,12,2,1427,1439,12
7,2,0,0,44,44
7,27,1,45,48,3
7,15,4,49,77,28
7,17,1,78,89,11
7,7,3,90,121,31
7,2,0,122,218,96
7,27,1,219,220,1
7,1,0,221,224,3
7,21,4,225,229,4
7,12,2,230,243,13
7,11,1,244,283,39
7,15,4,284,285,1
7,11,1,286,607,321
7,15,4,608,629,21
7,16,1,630,659,29
7,2,0,660,668,8
7,18,2,669,726,57
7,17,1,727,781,54
7,22,2,782,856,74
7,27,1,857,863,6
7,19,3,864,871,7
7,2,0,872,994,122
7,27,1,995,996,1
7,12,2,997,1132,135
7,17,1,1133,1139,6
7,15,4,1140,1141,1
7,27,1,1142,1145,3
7,1,0,1146,1150,4
7,17,1,1151,1162,11
7,2,0,1163,1439,276
8,12,2,0,17,17
8,10,3,18,21,3
8,12,2,22,30,8
8,1,0,31,32,1
8,12,2,33,50,17
8,16,1,51,121,70
8,21,4,122,124,2
8,1,0,125,127,2
8,12,2,128,155,27
8,11,1,156,511,355
8,15,4,512,530,18
8,1,0,531,534,3
8,27,1,535,544,9
8,2,0,545,1040,495
8,22,2,1041,1047,6
8,27,1,1048,1053,5
8,12,2,1054,1060,6
8,1,0,1061,1064,3
8,12,2,1065,1074,9
8,1,0,1075,1079,4
8,12,2,1080,1171,91
8,19,3,1172,1180,8
8,15,4,1181,1183,2
8,12,2,1184,1186,2
8,9,3,1187,1281,94
8,17,1,1282,1294,12
8,13,2,1295,1439,144
9,22,2,0,41,41
9,16,1,42,112,70
9,15,4,113,121,8
9,16,1,122,132,10
9,7,3,133,161,28
9,21,4,162,180,18
9,10,3,181,185,4
9,11,1,186,495,309
9,15,4,496,513,17
9,1,0,514,515,1
9,27,1,516,520,4
9,2,0,521,807,286
9,22,2,808,818,10
9,18,2,819,835,16
9,17,1,836,879,43
9,22,2,880,925,45
9,17,1,926,927,1
9,22,2,928,965,37
9,17,1,966,1007,41
9,12,2,1008,1032,24
9,16,1,1033,1094,61
9,1,0,1095,1103,8
9,12,2,1104,1192,88
9,7,3,1193,1261,68
9,12,2,1262,1269,7
9,9,3,1270,1273,3
9,12,2,1274,1312,38
9,15,4,1313,1314,1
9,1,0,1315,1317,2
9,12,2,1318,1339,21
9,17,1,1340,1382,42
9,17,1,1383,1399,16
9,14,4,1400,1421,21
9,10,3,1422,1429,7
9,18,2,1430,1439,9
10,2,0,0,26,26
10,22,2,27,40,13
10,27,1,41,43,2
10,12,2,44,85,41
10,15,4,86,95,9
10,17,1,96,109,13
10,10,3,110,141,31
10,10,3,142,145,3
10,21,4,146,150,4
10,1,0,151,153,2
10,11,1,154,384,230
10,15,4,385,388,3
10,11,1,389,498,109
10,15,4,499,514,15
10,27,1,515,521,6
10,2,0,522,1090,568
10,22,2,1091,1093,2
10,27,1,1094,1095,1
10,18,2,1096,1162,66
10,17,1,1163,1194,31
10,2,0,1195,1439,244
11,22,2,0,21,21
11,15,4,22,53,31
11,25,2,54,59,5
11,11,1,60,418,358
11,15,4,419,430,11
11,4,3,431,432,1
11,21,4,433,436,3
11,27,1,437,440,3
11,1,0,441,1143,702
11,27,1,1144,1146,2
11,1,0,1147,1149,2
11,12,2,1150,1219,69
11,7,3,1220,1276,56
11,18,2,1277,1293,16
11,22,2,1294,1360,66
11,10,3,1361,1365,4
11,12,2,1366,1393,27
11,17,1,1394,1402,8
11,18,2,1403,1427,24
11,10,3,1428,1432,4
11,12,2,1433,1439,6
12,11,1,0,485,485
12,15,4,486,503,17
12,27,1,504,514,10
12,1,0,515,1120,605
12,27,1,1121,1124,3
12,22,2,1125,1170,45
12,7,3,1171,1195,24
12,2,0,1196,1201,5
12,12,2,1202,1232,30
12,8,3,1233,1257,24
12,12,2,1258,1313,55
12,10,3,1314,1325,11
12,17,1,1326,1373,47
12,10,3,1374,1377,3
12,15,4,1378,1394,16
12,12,2,1395,1424,29
12,10,3,1425,1439,14
13,17,1,0,59,59
13,10,3,60,79,19
13,21,4,80,92,12
13,12,2,93,105,12
13,11,1,106,472,366
13,15,4,473,494,21
13,1,0,495,513,18
13,20,4,514,524,10
13,27,1,525,534,9
13,2,0,535,1323,788
13,27,1,1324,1328,4
13,22,2,1329,1379,50
13,17,1,1380,1418,38
13,22,2,1419,1431,12
13,17,1,1432,1439,7
14,2,0,0,8,8
14,25,2,9,17,8
14,27,1,18,21,3
14,12,2,22,50,28
14,10,3,51,60,9
14,16,1,61,84,23
14,14,4,85,114,29
14,10,3,115,147,32
14,21,4,148,165,17
14,15,4,166,169,3
14,11,1,170,497,327
14,15,4,498,530,32
14,27,1,531,541,10
14,2,0,542,1439,897
15,16,1,0,85,85
15,12,2,86,103,17
15,11,1,104,429,325
15,15,4,430,432,2
15,16,1,433,503,70
15,15,4,504,529,25
15,1,0,530,535,5
15,27,1,536,543,7
15,2,0,544,862,318
15,27,1,863,895,32
15,15,4,896,918,22
15,12,2,919,926,7
15,1,0,927,930,3
15,12,2,931,947,16
15,2,0,948,1410,462
15,12,2,1411,1431,20
15,16,1,1432,1439,7
16,17,1,0,51,51
16,14,4,52,73,21
16,10,3,74,76,2
16,16,1,77,118,41
16,10,3,119,160,41
16,15,4,161,169,8
16,12,2,170,202,32
16,11,1,203,375,172
16,15,4,376,378,2
16,11,1,379,586,207
16,2,0,587,592,5
16,15,4,593,616,23
16,18,2,617,671,54
16,16,1,672,711,39
16,12,2,712,842,130
16,15,4,843,844,1
16,12,2,845,990,145
16,17,1,991,998,7
16,12,2,999,1011,12
16,27,1,1012,1014,2
16,2,0,1015,1056,41
16,12,2,1057,1109,52
16,2,0,1110,1342,232
16,12,2,1343,1439,96
17,17,1,0,94,94
17,10,3,95,129,34
17,21,4,130,133,3
17,1,0,134,139,5
17,12,2,140,155,15
17,15,4,156,158,2
17,11,1,159,493,334
17,15,4,494,524,30
17,27,1,525,531,6
17,2,0,532,1387,855
17,12,2,1388,1411,23
17,27,1,1412,1418,6
17,14,4,1419,1432,13
17,17,1,1433,1439,6
18,12,2,0,44,44
18,10,3,45,81,36
18,14,4,82,93,11
18,1,0,94,98,4
18,12,2,99,102,3
18,10,3,103,138,35
18,12,2,139,156,17
18,21,4,157,178,21
18,11,1,179,303,124
18,15,4,304,306,2
18,11,1,307,496,189
18,15,4,497,521,24
18,27,1,522,532,10
18,2,0,533,1385,852
18,12,2,1386,1389,3
18,27,1,1390,1392,2
18,15,4,1393,1395,2
18,12,2,1396,1439,43
19,2,0,0,36,36
19,27,1,37,39,2
19,12,2,40,48,8
19,9,3,49,52,3
19,17,1,53,92,39
19,14,4,93,95,2
19,12,2,96,99,3
19,11,1,100,451,351
19,15,4,452,455,3
19,16,1,456,485,29
19,20,4,486,497,11
19,27,1,498,506,8
19,2,0,507,1120,613
19,27,1,1121,1126,5
19,22,2,1127,1153,26
19,1,0,1154,1157,3
19,7,3,1158,1160,2
19,15,4,1161,1179,18
19,22,2,1180,1205,25
19,7,3,1206,1209,3
19,12,2,1210,1218,8
19,8,3,1219,1234,15
19,21,4,1235,1239,4
19,2,0,1240,1439,199
20,16,1,0,74,74
20,10,3,75,93,18
20,14,4,94,103,9
20,1,0,104,108,4
20,12,2,109,114,5
20,15,4,115,116,1
20,11,1,117,427,310
20,15,4,428,429,1
20,16,1,430,480,50
20,20,4,481,505,24
20,27,1,506,511,5
20,2,0,512,1120,608
20,27,1,1121,1124,3
20,1,0,1125,1126,1
20,12,2,1127,1164,37
20,7,3,1165,1242,77
20,12,2,1243,1326,83
20,16,1,1327,1439,112
21,12,2,0,9,9
21,17,1,10,57,47
21,1,0,58,88,30
21,20,4,89,91,2
21,10,3,92,105,13
21,15,4,106,110,4
21,1,0,111,114,3
21,12,2,115,143,28
21,11,1,144,454,310
21,15,4,455,487,32
21,27,1,488,495,7
21,2,0,496,1104,608
21,27,1,1105,1107,2
21,1,0,1108,1111,3
21,22,2,1112,1145,33
21,1,0,1146,1150,4
21,7,3,1151,1243,92
21,12,2,1244,1300,56
21,12,2,1301,1322,21
21,15,4,1323,1327,4
21,22,2,1328,1395,67
21,1,0,1396,1400,4
21,12,2,1401,1439,38
22,12,2,0,42,42
22,16,1,43,53,10
22,1,0,54,66,12
22,14,4,67,108,41
22,10,3,109,132,23
22,21,4,133,136,3
22,1,0,137,139,2
22,15,4,140,141,1
22,16,1,142,410,268
22,15,4,411,424,13
22,16,1,425,660,235
22,18,2,661,692,31
22,15,4,693,695,2
22,1,0,696,698,2
22,12,2,699,759,60
22,1,0,760,780,20
22,12,2,781,884,103
22,27,1,885,893,8
22,1,0,894,1436,542
22,27,1,1437,1439,2
23,16,1,0,42,42
23,10,3,43,56,13
23,15,4,57,63,6
23,10,3,64,78,14
23,21,4,79,82,3
23,1,0,83,85,2
23,18,2,86,110,24
23,1,0,111,112,1
23,11,1,113,396,283
23,15,4,397,401,4
23,16,1,402,453,51
23,15,4,454,473,19
23,22,2,474,481,7
23,16,1,482,555,73
23,12,2,556,573,17
23,1,0,574,585,11
23,12,2,586,713,127
23,1,0,714,717,3
23,15,4,718,719,1
23,22,2,720,722,2
23,1,0,723,726,3
23,12,2,727,848,121
23,27,1,849,856,7
23,2,0,857,915,58
23,27,1,916,917,1
23,12,2,918,973,55
23,1,0,974,982,8
23,12,2,983,995,12
23,7,3,996,1016,20
23,12,2,1017,1026,9
23,7,3,1027,1054,27
23,22,2,1055,1060,5
23,7,3,1061,1071,10
23,12,2,1072,1091,19
23,7,3,1092,1111,19
23,12,2,1112,1128,16
23,10,3,1129,1137,8
23,12,2,1138,1154,16
23,9,3,1155,1157,2
23,12,2,1158,1181,23
23,10,3,1182,1190,8
23,15,4,1191,1193,2
23,1,0,1194,1195,1
23,22,2,1196,1287,91
23,15,4,1288,1315,27
23,12,2,1316,1332,16
23,10,3,1333,1353,20
23,12,2,1354,1364,10
23,21,4,1365,1370,5
23,12,2,1371,1379,8
23,11,1,1380,1439,59
24,17,1,0,7,7
24,15,4,8,31,23
24,10,3,32,34,2
24,18,2,35,53,18
24,14,4,54,79,25
24,10,3,80,117,37
24,21,4,118,119,1
24,11,1,120,250,130
24,15,4,251,253,2
24,11,1,254,469,215
24,14,4,470,494,24
24,27,1,495,507,12
24,2,0,508,1089,581
24,27,1,1090,1094,4
24,2,0,1095,1321,226
24,25,2,1322,1340,18
24,27,1,1341,1379,38
24,22,2,1380,1389,9
24,17,1,1390,1439,49
25,12,2,0,8,8
25,15,4,9,15,6
25,12,2,16,32,16
25,10,3,33,66,33
25,1,0,67,69,2
25,21,4,70,75,5
25,1,0,76,78,2
25,12,2,79,88,9
25,11,1,89,122,33
25,1,0,123,157,34
25,11,1,158,469,311
25,15,4,470,501,31
25,27,1,502,508,6
25,2,0,509,1151,642
25,27,1,1152,1154,2
25,1,0,1155,1159,4
25,25,2,1160,1183,23
25,7,3,1184,1229,45
25,12,2,1230,1286,56
25,27,1,1287,1293,6
25,2,0,1294,1407,113
25,27,1,1408,1410,2
25,12,2,1411,1439,28
26,12,2,0,35,35
26,14,4,36,47,11
26,12,2,48,85,37
26,10,3,86,104,18
26,1,0,105,111,6
26,10,3,112,128,16
26,1,0,129,132,3
26,21,4,133,137,4
26,12,2,138,156,18
26,1,0,157,158,1
26,11,1,159,387,228
26,15,4,388,391,3
26,16,1,392,501,109
26,15,4,502,533,31
26,27,1,534,540,6
26,2,0,541,1122,581
26,22,2,1123,1137,14
26,27,1,1138,1141,3
26,18,2,1142,1174,32
26,16,1,1175,1229,54
26,8,3,1230,1255,25
26,15,4,1256,1263,7
26,1,0,1264,1277,13
26,12,2,1278,1291,13
26,1,0,1292,1294,2
26,10,3,1295,1305,10
26,12,2,1306,1439,133
27,2,0,0,40,40
27,10,3,41,67,26
27,21,4,68,77,9
27,12,2,78,105,27
27,11,1,106,402,296
27,15,4,403,408,5
27,16,1,409,483,74
27,15,4,484,496,12
27,27,1,497,506,9
27,2,0,507,1055,548
27,27,1,1056,1061,5
27,2,0,1062,1439,377
28,11,1,0,331,331
28,15,4,332,363,31
28,27,1,364,370,6
28,2,0,371,937,566
28,27,1,938,941,3
28,15,4,942,948,6
28,27,1,949,963,14
28,1,0,964,986,22
28,17,1,987,996,9
28,22,2,997,1010,13
28,17,1,1011,1015,4
28,2,0,1016,1171,155
28,15,4,1172,1173,1
28,1,0,1174,1176,2
28,17,1,1177,1204,27
28,22,2,1205,1207,2
28,17,1,1208,1221,13
28,14,4,1222,1249,27
28,1,0,1250,1278,28
28,10,3,1279,1307,28
28,15,4,1308,1314,6
28,1,0,1315,1318,3
28,12,2,1319,1323,4
28,2,0,1324,1439,115
29,2,0,0,1439,1439
